Row ID;Ship Date;Ship Mode;Sales;Discount;Quantity;Customer ID;Product ID;Order ID
1;11/11/2016;Second Class;261,96;0;2;CG-12520;FUR-BO-10001798;CA-2016-152156
2;11/11/2016;Second Class;731,94;0;3;CG-12520;FUR-CH-10000454;CA-2016-152156
3;16/06/2016;Second Class;14,62;0;2;DV-13045;OFF-LA-10000240;CA-2016-138688
4;18/10/2015;Standard Class;957,5775;0,45;5;SO-20335;FUR-TA-10000577;US-2015-108966
5;18/10/2015;Standard Class;22,368;0,2;2;SO-20335;OFF-ST-10000760;US-2015-108966
6;14/06/2014;Standard Class;48,86;0;7;BH-11710;FUR-FU-10001487;CA-2014-115812
7;14/06/2014;Standard Class;7,28;0;4;BH-11710;OFF-AR-10002833;CA-2014-115812
8;14/06/2014;Standard Class;907,152;0,2;6;BH-11710;TEC-PH-10002275;CA-2014-115812
9;14/06/2014;Standard Class;18,504;0,2;3;BH-11710;OFF-BI-10003910;CA-2014-115812
10;14/06/2014;Standard Class;114,9;0;5;BH-11710;OFF-AP-10002892;CA-2014-115812
11;14/06/2014;Standard Class;1706,184;0,2;9;BH-11710;FUR-TA-10001539;CA-2014-115812
12;14/06/2014;Standard Class;911,424;0,2;4;BH-11710;TEC-PH-10002033;CA-2014-115812
13;20/04/2017;Standard Class;15,552;0,2;3;AA-10480;OFF-PA-10002365;CA-2017-114412
14;10/12/2016;Standard Class;407,976;0,2;3;IM-15070;OFF-BI-10003656;CA-2016-161389
15;26/11/2015;Standard Class;68,81;0,8;5;HP-14815;OFF-AP-10002311;US-2015-118983
16;26/11/2015;Standard Class;2,544;0,8;3;HP-14815;OFF-BI-10000756;US-2015-118983
17;18/11/2014;Standard Class;665,88;0;6;PK-19075;OFF-ST-10004186;CA-2014-105893
18;15/05/2014;Second Class;55,5;0;2;AG-10270;OFF-ST-10000107;CA-2014-167164
19;1/09/2014;Second Class;8,56;0;2;ZD-21925;OFF-AR-10003056;CA-2014-143336
