Customer ID;Postal Code;City
CG-12520;42420;Henderson
DV-13045;90036;Los Angeles
SO-20335;33311;Fort Lauderdale
BH-11710;90032;Los Angeles
AA-10480;28027;Concord
IM-15070;98103;Seattle
HP-14815;76106;Fort Worth
PK-19075;53711;Madison
AG-10270;84084;West Jordan
ZD-21925;94109;San Francisco
KB-16585;68025;Fremont
SF-20065;19140;Philadelphia
EB-13870;84057;Orem
EH-13945;90049;Los Angeles
TB-21520;19140;Philadelphia
MA-17560;77095;Houston
GH-14485;75080;Richardson
SN-20710;77041;Houston
LC-16930;60540;Naperville
RA-19885;90049;Los Angeles
ES-14080;32935;Melbourne
ON-18715;55122;Eagan
PO-18865;48185;Westland
LH-16900;19901;Dover
DP-13000;47150;New Albany
JM-15265;10024;New York City
TB-21055;12180;Troy
KM-16720;90004;Los Angeles
PS-18970;60610;Chicago
BS-11590;85234;Gilbert
KD-16270;22153;Springfield
HM-14980;10009;New York City
TB-21520;49201;Jackson
JE-15745;38109;Memphis
KB-16600;77041;Houston
JE-15745;77070;Houston
SC-20770;35601;Decatur
DN-13690;94122;San Francisco
JC-16105;27707;Durham
CS-12400;60623;Chicago
PO-18865;29203;Columbia
PG-18895;55901;Rochester
GM-14455;77095;Houston
JS-15685;90036;Los Angeles
KB-16315;55407;Minneapolis
RB-19705;97206;Portland
PN-18775;10009;New York City
KD-16345;94122;San Francisco
ER-13855;55106;Saint Paul
RB-19465;60610;Chicago
GZ-14470;55901;Rochester
LC-16870;80013;Aurora
JM-15250;28205;Charlotte
PA-19060;60462;Orland Park
CV-12805;10035;New York City
CL-12565;50322;Urbandale
RC-19960;43229;Columbus
DK-13090;98103;Seattle
GG-14650;37620;Bristol
SC-20725;19805;Wilmington
AD-10180;77041;Houston
PF-19165;61701;Bloomington
TS-21610;85023;Phoenix
LS-16975;90004;Los Angeles
DW-13585;43229;Columbus
LC-16885;95661;Roseville
JD-15895;19140;Philadelphia
SH-19975;94122;San Francisco
SG-20080;64055;Independence
HA-14920;91104;Pasadena
MG-17680;43055;Newark
JE-16165;53132;Franklin
TW-21025;85254;Scottsdale
SP-20650;95123;San Jose
NK-18490;98105;Seattle
DB-13060;98115;Seattle
NP-18670;73034;Edmond
TT-21070;90045;Los Angeles
EM-13960;19134;Philadelphia
RD-19900;88220;Carlsbad
MJ-17740;98115;Seattle
BM-11140;78207;San Antonio
CS-12130;90004;Los Angeles
JB-15400;60623;Chicago
SJ-20500;77036;Houston
JE-15745;43055;Newark
JK-15640;10009;New York City
DK-13150;62521;Decatur
RM-19675;71203;Monroe
SK-19990;6824;Fairfield
FM-14290;90032;Los Angeles
AM-10360;75051;Grand Prairie
MP-17470;10035;New York City
MZ-17515;92374;Redlands
CB-12025;45011;Hamilton
VM-21685;7090;Westfield
FH-14365;19120;Philadelphia
MB-17305;44312;Akron
BS-11755;80219;Denver
LC-17140;75220;Dallas
HK-14890;37064;Franklin
LE-16810;90604;Whittier
JH-15985;48601;Saginaw
MS-17980;75220;Dallas
