Postal Code;Country;State;City;Region
42420;United States;Kentucky;Henderson;South
90036;United States;California;Los Angeles;West
33311;United States;Florida;Fort Lauderdale;South
90032;United States;California;Los Angeles;West
28027;United States;North Carolina;Concord;South
98103;United States;Washington;Seattle;West
76106;United States;Texas;Fort Worth;Central
53711;United States;Wisconsin;Madison;Central
84084;United States;Utah;West Jordan;West
94109;United States;California;San Francisco;West
68025;United States;Nebraska;Fremont;Central
19140;United States;Pennsylvania;Philadelphia;East
84057;United States;Utah;Orem;West
90049;United States;California;Los Angeles;West
77095;United States;Texas;Houston;Central
75080;United States;Texas;Richardson;Central
77041;United States;Texas;Houston;Central
60540;United States;Illinois;Naperville;Central
32935;United States;Florida;Melbourne;South
55122;United States;Minnesota;Eagan;Central
48185;United States;Michigan;Westland;Central
19901;United States;Delaware;Dover;East
47150;United States;Indiana;New Albany;Central
10024;United States;New York;New York City;East
12180;United States;New York;Troy;East
90004;United States;California;Los Angeles;West
60610;United States;Illinois;Chicago;Central
85234;United States;Arizona;Gilbert;West
22153;United States;Virginia;Springfield;South
10009;United States;New York;New York City;East
49201;United States;Michigan;Jackson;Central
38109;United States;Tennessee;Memphis;South
77070;United States;Texas;Houston;Central
35601;United States;Alabama;Decatur;South
94122;United States;California;San Francisco;West
27707;United States;North Carolina;Durham;South
60623;United States;Illinois;Chicago;Central
29203;United States;South Carolina;Columbia;South
55901;United States;Minnesota;Rochester;Central
55407;United States;Minnesota;Minneapolis;Central
97206;United States;Oregon;Portland;West
55106;United States;Minnesota;Saint Paul;Central
80013;United States;Colorado;Aurora;West
28205;United States;North Carolina;Charlotte;South
60462;United States;Illinois;Orland Park;Central
10035;United States;New York;New York City;East
50322;United States;Iowa;Urbandale;Central
43229;United States;Ohio;Columbus;East
37620;United States;Tennessee;Bristol;South
19805;United States;Delaware;Wilmington;East
61701;United States;Illinois;Bloomington;Central
85023;United States;Arizona;Phoenix;West
95661;United States;California;Roseville;West
64055;United States;Missouri;Independence;Central
91104;United States;California;Pasadena;West
43055;United States;Ohio;Newark;East
53132;United States;Wisconsin;Franklin;Central
85254;United States;Arizona;Scottsdale;West
95123;United States;California;San Jose;West
98105;United States;Washington;Seattle;West
98115;United States;Washington;Seattle;West
73034;United States;Oklahoma;Edmond;Central
90045;United States;California;Los Angeles;West
19134;United States;Pennsylvania;Philadelphia;East
88220;United States;New Mexico;Carlsbad;West
78207;United States;Texas;San Antonio;Central
77036;United States;Texas;Houston;Central
62521;United States;Illinois;Decatur;Central
71203;United States;Louisiana;Monroe;South
6824;United States;Connecticut;Fairfield;East
75051;United States;Texas;Grand Prairie;Central
92374;United States;California;Redlands;West
45011;United States;Ohio;Hamilton;East
7090;United States;New Jersey;Westfield;East
19120;United States;Pennsylvania;Philadelphia;East
44312;United States;Ohio;Akron;East
80219;United States;Colorado;Denver;West
75220;United States;Texas;Dallas;Central
37064;United States;Tennessee;Franklin;South
90604;United States;California;Whittier;West
48601;United States;Michigan;Saginaw;Central
44256;United States;Ohio;Medina;East
43017;United States;Ohio;Dublin;East
48227;United States;Michigan;Detroit;Central
38401;United States;Tennessee;Columbia;South
33614;United States;Florida;Tampa;South
95051;United States;California;Santa Clara;West
55044;United States;Minnesota;Lakeville;Central
92037;United States;California;San Diego;West
77506;United States;Texas;Pasadena;Central
94513;United States;California;Brentwood;West
27514;United States;North Carolina;Chapel Hill;South
7960;United States;New Jersey;Morristown;East
45231;United States;Ohio;Cincinnati;East
94110;United States;California;San Francisco;West
90301;United States;California;Inglewood;West
33319;United States;Florida;Tamarac;South
80906;United States;Colorado;Colorado Springs;West
7109;United States;New Jersey;Belleville;East
48180;United States;Michigan;Taylor;Central
8701;United States;New Jersey;Lakewood;East
22204;United States;Virginia;Arlington;South
80004;United States;Colorado;Arvada;West
7601;United States;New Jersey;Hackensack;East
33710;United States;Florida;Saint Petersburg;South
19143;United States;Pennsylvania;Philadelphia;East
90805;United States;California;Long Beach;West
92345;United States;California;Hesperia;West
37130;United States;Tennessee;Murfreesboro;South
84041;United States;Utah;Layton;West
78745;United States;Texas;Austin;Central
1852;United States;Massachusetts;Lowell;East
31907;United States;Georgia;Columbus;South
